trial,nct_id,status,n,age_mean,age_sd,male,como_ct_mean,como_ct_sd,como_ct_total,como_ct_0,como_ct_1,como_ct_2plus,white,asian,black,ethnic_na,other
GSK200109,NCT01957163,fail,108,64.97222222222223,8.96562316595417,55,1.16,1.49,125,53,17,38,104,0,4,0,0
GSK200109,NCT01957163,rand,619,64.4232633279483,8.103208143304583,407,1.57,1.32,973,146,183,290,604,0,14,0,1
GSK200110,NCT02119286,fail,110,63.763636363636365,9.234883281577176,63,1.55,1.66,170,40,26,44,97,11,2,0,0
GSK200110,NCT02119286,rand,620,62.903225806451616,8.229561116404586,391,1.59,1.31,987,137,194,289,531,69,18,0,2
GSK200165_v02,NCT01916226,fail,296,39.766891891891895,12.189313955826092,106,0,0,0,296,0,0,215,5,70,0,6
GSK200165_v02,NCT01916226,rand,681,40.25256975036711,11.317383687660795,254,0.68,0.85,462,353,225,103,529,19,120,0,13
GSK201315,NCT02236611,fail,315,65.4984126984127,8.489549440444355,196,0.86,1.2,272,175,60,80,315,0,0,0,0
GSK201315,NCT02236611,rand,1037,64.10125361620058,8.299670201517438,707,1.24,1.11,1286,291,389,357,1033,4,0,0,0
GSKAC4116135,NCT01772134,fail,245,63.21224489795918,9.262776569465808,154,1.03,1.45,252,138,32,75,211,28,4,0,2
GSKAC4116135,NCT01772134,rand,617,63.14262560777958,8.373916769112975,409,1.63,1.38,1008,145,176,296,540,64,12,0,1
GSKAVA105640_v02,NCT00428090,fail,58,74.67241379310344,8.519097083847381,19,0.79,1.07,46,33,11,14,42,13,1,0,2
GSKAVA105640_v02,NCT00428090,rand,580,72.41896551724138,8.280821567722613,216,0.67,0.99,391,349,120,111,418,143,8,0,11
GSKB2C112060,NCT01181895,fail,235,44.00425531914894,17.303598230697723,104,0.01,0.2,3,234,0,1,155,0,26,0,54
GSKB2C112060,NCT01181895,rand,347,41.279538904899134,17.05566242032321,143,0.47,0.8,162,231,85,31,202,0,22,0,123
GSKCOR103560,NCT00123903,fail,159,58.63522012578616,9.781422189343155,90,1.23,1.41,195,62,43,54,115,17,27,0,0
GSKCOR103560,NCT00123903,rand,107,57.32710280373832,11.082687247297343,64,1.28,1.17,137,26,47,34,76,15,16,0,0
GSKCOR103561,NCT00273052,fail,87,54.14942528735632,9.446949471497534,30,0.46,1.22,40,64,17,6,70,3,12,0,2
GSKCOR103561,NCT00273052,rand,567,51.954144620811284,10.80478952169005,297,0.76,0.99,432,268,209,90,472,35,45,0,15
GSKDB2113360_v02,NCT01316900,fail,295,63.79322033898305,9.589248947464847,184,0,0,0,295,0,0,229,5,20,0,41
GSKDB2113360_v02,NCT01316900,rand,846,62.91962174940898,9.029506809872743,585,1.18,1.27,997,317,262,267,725,7,25,0,89
GSKFFA112059,NCT01159912,fail,699,39.74678111587983,16.756138175547438,278,0,0.04,1,698,1,0,528,14,139,0,18
GSKFFA112059,NCT01159912,rand,347,40.39769452449568,16.445137215056064,143,0.58,0.83,200,204,101,42,276,5,64,0,2
GSKFFA115285,NCT01436110,fail,304,38.37171052631579,16.830449059555466,119,0,0,0,304,0,0,188,4,38,0,74
GSKFFA115285,NCT01436110,rand,351,36.635327635327634,16.640340135373428,118,0.28,0.61,97,278,54,19,164,2,32,0,153
GSKFFR101816,NCT00118729,fail,834,33.117505995203835,13.255839022945509,277,0,0,0,834,0,0,203,1,626,0,4
GSKFFR101816,NCT00118729,rand,383,33.422976501305484,12.481345012305377,115,0.18,0.6,68,332,43,8,76,2,304,0,1
GSKFFR106080,NCT00289198,fail,267,41.58426966292135,16.745648512597523,120,0.29,0.68,78,213,37,17,233,16,11,0,7
GSKFFR106080,NCT00289198,rand,302,37.11920529801324,16.358088879560466,131,0.51,0.87,153,203,62,37,275,15,7,0,5
GSKFFR30003,NCT00115622,fail,272,39.5514705882353,15.422856404518862,88,0,0,0,272,0,0,190,9,14,0,59
GSKFFR30003,NCT00115622,rand,303,37.54125412541254,13.725699094782183,111,0.65,0.77,197,153,109,41,224,0,12,0,67
GSKFFR30006,NCT00117325,fail,549,47.1511839708561,15.700925848521306,179,0.01,0.16,8,543,5,1,520,4,21,0,4
GSKFFR30006,NCT00117325,rand,352,45.80113636363637,15.765380907933533,105,0.91,1.08,322,155,112,85,332,2,10,0,8
GSKFFR30007,NCT00118703,fail,550,45.43818181818182,16.130467510777372,217,0,0.04,1,549,1,0,485,10,51,0,4
GSKFFR30007,NCT00118703,rand,348,43.939655172413794,15.051853960948835,115,0.74,1.01,257,189,94,65,332,1,13,0,2
GSKFFU111439,NCT00609674,fail,194,36.824742268041234,14.93683440203966,78,0,0,0,194,0,0,167,12,10,0,5
GSKFFU111439,NCT00609674,rand,315,38.65396825396825,14.608400268565765,102,0.55,0.95,172,204,73,38,289,7,14,0,5
GSKMEA115588,NCT01691521,fail,222,50.37837837837838,16.04747146265946,71,0,0,0,222,0,0,153,45,16,0,8
GSKMEA115588,NCT01691521,rand,580,50.15689655172414,14.261602398044863,248,1.3,1.34,753,198,175,207,455,105,16,0,4
