model,num_divergent,num_max_treedepth,ebfmi
as,0,0,0.7940865363813797
as,0,0,0.8014606049747398
as,0,0,0.8004734096519333
as,0,0,0.7288504729192199
cc,45,0,0.8014609288931687
cc,5,0,0.8125859397601701
cc,4,0,0.8447147212364386
cc,2,0,0.7687085015282162
eth,0,1000,0.8693242792851497
eth,0,1000,0.8482866250125779
eth,0,1000,0.8717246197840887
eth,0,1000,0.8993366731860846
asc,0,0,0.723398569636346
asc,0,0,0.8986095705825311
asc,0,0,0.8068779062365933
asc,0,0,0.8011577776252534
asce,0,0,0.8637942075750926
asce,0,0,0.8099348088983144
asce,0,0,0.8431044505181937
asce,0,0,0.8698054681305266
as_int,0,0,0.7777555474021777
as_int,0,0,0.8884095110686102
as_int,0,0,0.8606976132549178
as_int,0,0,0.9310085141782831
asc_int,0,0,0.8623430015683927
asc_int,0,0,0.8604905177954424
asc_int,0,0,0.9198935622567775
asc_int,0,0,0.8157122887917144
asce_int,16,0,0.9389524273922892
asce_int,5,0,0.9396546964639564
asce_int,12,0,0.8311783883261411
asce_int,4,0,0.9346224893326354
eth_33,0,0,0.8936602648601105
eth_33,0,0,0.941686022375346
eth_33,0,0,1.0338376990624414
eth_33,0,1000,0.7503224703833761
